Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
540	0.125	5.e-002	0.	3.2577e-004
541	0.175	5.e-002	0.	4.2623e-004
542	0.225	5.e-002	0.	5.3203e-004
543	0.275	5.e-002	0.	6.4074e-004
544	0.325	5.e-002	0.	7.5227e-004
545	0.375	5.e-002	0.	8.6622e-004
546	0.425	5.e-002	0.	9.8242e-004
547	0.475	5.e-002	0.	1.1006e-003
548	0.525	5.e-002	0.	1.2206e-003
549	0.575	5.e-002	0.	1.3421e-003
550	0.625	5.e-002	0.	1.4647e-003
551	0.675	5.e-002	0.	1.5881e-003
552	0.725	5.e-002	0.	1.7119e-003
553	0.775	5.e-002	0.	1.8357e-003
554	0.825	5.e-002	0.	1.959e-003
555	0.875	5.e-002	0.	2.0814e-003
556	0.925	5.e-002	0.	2.2021e-003
557	0.975	5.e-002	0.	2.3208e-003
558	1.	5.e-002	2.5e-002	2.3797e-003
559	1.	2.5e-002	0.	2.3705e-003
560	1.	2.5e-002	5.e-002	2.3697e-003
561	1.	0.	2.5e-002	2.3641e-003
562	1.	-2.5e-002	5.e-002	2.3619e-003
563	1.	-2.5e-002	0.	2.3625e-003
564	1.	-5.e-002	2.5e-002	2.3629e-003
565	0.975	-5.e-002	0.	2.3014e-003
566	0.975	-5.e-002	5.e-002	2.3006e-003
567	0.925	-5.e-002	5.e-002	2.1744e-003
568	0.95	-5.e-002	2.5e-002	2.238e-003
569	0.875	-5.e-002	5.e-002	2.047e-003
570	0.9	-5.e-002	2.5e-002	2.1111e-003
571	0.825	-5.e-002	5.e-002	1.9189e-003
572	0.85	-5.e-002	2.5e-002	1.9833e-003
573	0.775	-5.e-002	5.e-002	1.7907e-003
574	0.8	-5.e-002	2.5e-002	1.8552e-003
575	0.725	-5.e-002	5.e-002	1.6628e-003
576	0.75	-5.e-002	2.5e-002	1.7271e-003
577	0.675	-5.e-002	5.e-002	1.5356e-003
578	0.7	-5.e-002	2.5e-002	1.5996e-003
579	0.625	-5.e-002	5.e-002	1.4097e-003
580	0.65	-5.e-002	2.5e-002	1.4731e-003
581	0.575	-5.e-002	5.e-002	1.2854e-003
582	0.6	-5.e-002	2.5e-002	1.348e-003
583	0.525	-5.e-002	5.e-002	1.163e-003
584	0.55	-5.e-002	2.5e-002	1.2247e-003
585	0.475	-5.e-002	5.e-002	1.0429e-003
586	0.5	-5.e-002	2.5e-002	1.1036e-003
587	0.425	-5.e-002	5.e-002	9.2554e-004
588	0.45	-5.e-002	2.5e-002	9.8496e-004
589	0.375	-5.e-002	5.e-002	8.1103e-004
590	0.4	-5.e-002	2.5e-002	8.6919e-004
591	0.325	-5.e-002	5.e-002	6.9967e-004
592	0.35	-5.e-002	2.5e-002	7.5649e-004
593	0.275	-5.e-002	5.e-002	5.916e-004
594	0.3	-5.e-002	2.5e-002	6.4711e-004
595	0.225	-5.e-002	5.e-002	4.8712e-004
596	0.25	-5.e-002	2.5e-002	5.4125e-004
597	0.175	-5.e-002	5.e-002	3.8625e-004
598	0.2	-5.e-002	2.5e-002	4.3927e-004
599	0.125	-5.e-002	5.e-002	2.9093e-004
600	0.15	-5.e-002	2.5e-002	3.4163e-004
601	7.5e-002	-5.e-002	5.e-002	2.0073e-004
602	0.1	-5.e-002	2.5e-002	2.5008e-004
603	5.e-002	-5.e-002	2.5e-002	1.6133e-004
604	0.925	-5.e-002	0.	2.1753e-003
605	0.875	-5.e-002	0.	2.0481e-003
606	0.825	-5.e-002	0.	1.9202e-003
607	0.775	-5.e-002	0.	1.7921e-003
608	0.725	-5.e-002	0.	1.6645e-003
609	0.675	-5.e-002	0.	1.5376e-003
610	0.625	-5.e-002	0.	1.412e-003
611	0.575	-5.e-002	0.	1.2881e-003
612	0.525	-5.e-002	0.	1.1662e-003
613	0.475	-5.e-002	0.	1.0468e-003
614	0.425	-5.e-002	0.	9.3013e-004
615	0.375	-5.e-002	0.	8.1657e-004
616	0.325	-5.e-002	0.	7.0642e-004
617	0.275	-5.e-002	0.	5.9994e-004
618	0.225	-5.e-002	0.	4.9764e-004
619	0.175	-5.e-002	0.	3.9984e-004
620	0.125	-5.e-002	0.	3.0917e-004
621	7.5e-002	-5.e-002	0.	2.2193e-004
