Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
137	0.55	5.e-002	0.	2.3639e-003
138	0.6	5.e-002	0.	2.6899e-003
139	0.65	5.e-002	0.	3.0294e-003
140	0.7	5.e-002	0.	3.3804e-003
141	0.75	5.e-002	0.	3.7407e-003
142	0.8	5.e-002	0.	4.1081e-003
143	0.85	5.e-002	0.	4.4805e-003
144	0.9	5.e-002	0.	4.8557e-003
145	0.95	5.e-002	0.	5.2309e-003
146	1.	5.e-002	0.	5.6115e-003
147	1.	5.e-002	5.e-002	5.6126e-003
148	1.	0.	5.e-002	5.5465e-003
149	1.	0.	0.	5.5448e-003
150	1.	-5.e-002	0.	5.5181e-003
151	1.	-5.e-002	5.e-002	5.5203e-003
152	0.95	-5.e-002	5.e-002	5.1413e-003
153	0.9	-5.e-002	5.e-002	4.7585e-003
154	0.85	-5.e-002	5.e-002	4.3766e-003
155	0.8	-5.e-002	5.e-002	3.9979e-003
156	0.75	-5.e-002	5.e-002	3.6246e-003
157	0.7	-5.e-002	5.e-002	3.259e-003
158	0.65	-5.e-002	5.e-002	2.9033e-003
159	0.6	-5.e-002	5.e-002	2.5597e-003
160	0.55	-5.e-002	5.e-002	2.2304e-003
161	0.5	-5.e-002	5.e-002	1.9175e-003
162	0.45	-5.e-002	5.e-002	1.6232e-003
163	0.4	-5.e-002	5.e-002	1.3496e-003
164	0.35	-5.e-002	5.e-002	1.0988e-003
165	0.3	-5.e-002	5.e-002	8.7255e-004
166	0.25	-5.e-002	5.e-002	6.7267e-004
167	0.2	-5.e-002	5.e-002	5.0075e-004
168	0.15	-5.e-002	5.e-002	3.5692e-004
169	0.1	-5.e-002	5.e-002	2.4426e-004
170	5.e-002	-5.e-002	5.e-002	1.5195e-004
171	0.95	-5.e-002	0.	5.139e-003
172	0.9	-5.e-002	0.	4.7561e-003
173	0.85	-5.e-002	0.	4.3741e-003
174	0.8	-5.e-002	0.	3.9953e-003
175	0.75	-5.e-002	0.	3.6219e-003
176	0.7	-5.e-002	0.	3.2562e-003
177	0.65	-5.e-002	0.	2.9005e-003
178	0.6	-5.e-002	0.	2.5569e-003
179	0.55	-5.e-002	0.	2.2277e-003
180	0.5	-5.e-002	0.	1.9151e-003
181	0.45	-5.e-002	0.	1.6212e-003
182	0.4	-5.e-002	0.	1.3483e-003
183	0.35	-5.e-002	0.	1.0984e-003
184	0.3	-5.e-002	0.	8.737e-004
185	0.25	-5.e-002	0.	6.7617e-004
186	0.2	-5.e-002	0.	5.0779e-004
187	0.15	-5.e-002	0.	3.6978e-004
188	0.1	-5.e-002	0.	2.6375e-004
189	5.e-002	-5.e-002	0.	1.7476e-004
190	0.925	-8.6736e-019	5.e-002	4.9797e-003
191	0.95	-2.6021e-018	2.5e-002	5.169e-003
192	0.95	-8.6736e-019	7.5e-002	5.169e-003
193	0.95	2.5e-002	5.e-002	5.1965e-003
194	0.975	-8.6736e-019	5.e-002	5.3593e-003
195	0.95	-2.5e-002	5.e-002	5.1512e-003
196	0.875	1.7256e-031	5.e-002	4.5995e-003
197	0.9	1.4791e-031	2.5e-002	4.7892e-003
198	0.9	4.9304e-032	7.5e-002	4.7892e-003
199	0.9	2.5e-002	5.e-002	4.8184e-003
200	0.9	-2.5e-002	5.e-002	4.7696e-003
201	0.825	1.7347e-018	5.e-002	4.221e-003
202	0.85	3.6978e-031	2.5e-002	4.4095e-003
203	0.85	1.2326e-031	7.5e-002	4.4095e-003
204	0.85	2.5e-002	5.e-002	4.4409e-003
205	0.85	-2.5e-002	5.e-002	4.3884e-003
206	0.775	1.7347e-018	5.e-002	3.8465e-003
207	0.8	5.2042e-018	2.5e-002	4.0326e-003
208	0.8	1.7347e-018	7.5e-002	4.0326e-003
209	0.8	2.5e-002	5.e-002	4.066e-003
210	0.8	-2.5e-002	5.e-002	4.0103e-003
211	0.725	-1.8489e-032	5.e-002	3.4783e-003
212	0.75	-5.5467e-032	2.5e-002	3.661e-003
213	0.75	-1.8489e-032	7.5e-002	3.661e-003
214	0.75	2.5e-002	5.e-002	3.6963e-003
215	0.75	-2.5e-002	5.e-002	3.6375e-003
216	0.675	1.2326e-032	5.e-002	3.1186e-003
217	0.7	0.	2.5e-002	3.2968e-003
218	0.7	0.	7.5e-002	3.2968e-003
219	0.7	2.5e-002	5.e-002	3.3338e-003
220	0.7	-2.5e-002	5.e-002	3.2722e-003
221	0.625	1.2326e-032	5.e-002	2.7697e-003
222	0.65	3.6978e-032	2.5e-002	2.9422e-003
223	0.65	1.2326e-032	7.5e-002	2.9422e-003
224	0.65	2.5e-002	5.e-002	2.9808e-003
225	0.65	-2.5e-002	5.e-002	2.9167e-003
226	0.575	1.2326e-032	5.e-002	2.4336e-003
227	0.6	0.	2.5e-002	2.5994e-003
228	0.6	0.	7.5e-002	2.5994e-003
229	0.6	2.5e-002	5.e-002	2.6394e-003
230	0.6	-2.5e-002	5.e-002	2.5732e-003
231	0.525	-1.7347e-018	5.e-002	2.1125e-003
232	0.55	3.6978e-032	2.5e-002	2.2706e-003
233	0.55	1.2326e-032	7.5e-002	2.2706e-003
234	0.55	2.5e-002	5.e-002	2.3118e-003
235	0.55	-2.5e-002	5.e-002	2.2437e-003
236	0.475	-3.4694e-018	5.e-002	1.8086e-003
237	0.5	-5.2042e-018	2.5e-002	1.9579e-003
238	0.5	-1.7347e-018	7.5e-002	1.9579e-003
239	0.5	2.5e-002	5.e-002	2.e-003
240	0.5	-2.5e-002	5.e-002	1.9306e-003
241	0.425	-1.7347e-018	5.e-002	1.5238e-003
242	0.45	-5.2042e-018	2.5e-002	1.6633e-003
243	0.45	-1.7347e-018	7.5e-002	1.6633e-003
244	0.45	2.5e-002	5.e-002	1.706e-003
245	0.45	-2.5e-002	5.e-002	1.6358e-003
